category,SYMBOL,Quarter,Change
0,BAJAJHIND,Jun 2021 - Sep 2021,-0.1624999999999999
0,BAJAJHIND,Mar 2021 - Jun 2021,0.7472118959107807
0,BAJAJHIND,Mar 2020 - Jun 2020,-0.3831168831168831
0,BAJAJHIND,Jun 2019 - Sep 2019,0.3333333333333332
0,BAJAJHIND,Mar 2019 - Jun 2019,-0.3048780487804877
0,BAJAJHLDNG,Dec 2021 - Mar 2022,-0.1897039104120611
0,BAJAJHLDNG,Sep 2021 - Dec 2021,0.1367042050927233
0,BAJAJHLDNG,Sep 2019 - Dec 2019,-0.550377889417623
0,BAJAJHLDNG,Sep 2018 - Dec 2018,0.2597584701943806
0,BAJAJHLDNG,Mar 2018 - Jun 2018,-0.1681953642384105
0,BAJAJHLDNG,Dec 2017 - Mar 2018,-0.0913192759172374
0,BALPHARMA,Jun 2021 - Sep 2021,0.1580627993613623
0,BALPHARMA,Dec 2019 - Mar 2020,-0.4167610419026047
0,BALPHARMA,Sep 2019 - Dec 2019,0.1642778390297683
0,BALPHARMA,Mar 2019 - Jun 2019,-0.4842814371257484
0,BALAMINES,Jun 2022 - Sep 2022,0.0383808196638739
0,BALAMINES,Mar 2019 - Jun 2019,0.3667900993958291
0,BALAMINES,Jun 2018 - Sep 2018,0.1023240444982927
0,BALAJITELE,Mar 2020 - Jun 2020,-0.2593896713615023
0,BALAJITELE,Dec 2019 - Mar 2020,-0.425512104283054
0,BALAJITELE,Dec 2018 - Mar 2019,-0.1571342564720048
0,BALAJITELE,Sep 2018 - Dec 2018,-0.1999017681728879
0,BALAXI,Dec 2019 - Mar 2020,-0.4186346071275225
0,BALKRISIND,Sep 2021 - Dec 2021,-0.1195218286482626
0,BALKRISIND,Mar 2020 - Jun 2020,0.147345478471851
0,BALKRISIND,Mar 2019 - Jun 2019,-0.1278777204679833
0,BALLARPUR,Sep 2019 - Dec 2019,-0.4166666666666667
0,BALMLAWRIE,Jun 2022 - Sep 2022,0.1168607158257869
0,BALMLAWRIE,Mar 2021 - Jun 2021,-0.1303426351112682
0,BALMLAWRIE,Mar 2020 - Jun 2020,-0.0793926247288503
0,BALMLAWRIE,Mar 2019 - Jun 2019,-0.1240330754867964
0,BALRAMCHIN,Mar 2022 - Jun 2022,-0.1495567261981241
0,BALRAMCHIN,Sep 2021 - Dec 2021,0.3619705617302493
0,BALRAMCHIN,Jun 2020 - Sep 2020,0.2630568356374808
